,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
112,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,206,KANAL 5,SVERIGE,CA,"11,12",3.92,,,874381.0,ETT JOBB FÖR BERG,,PR,
113,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,206,KANAL 5,SVERIGE,CA,"11,12",9.6,,,874383.0,ETT JOBB FÖR BERG,,PR,
114,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,206,KANAL 5,SVERIGE,CA,"11,12",3.38,,,874674.0,TUNNELBANAN,,PR,
115,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,206,KANAL 5,SVERIGE,CA,"11,12",4.15,,,876507.0,WAHLGRENS VÄRLD,,PR,
116,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,206,KANAL 5,SVERIGE,CA,"11,12",10.55,,,900221.0,WAHLGRENS VÄRLD,,PR,
117,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,214,SJUAN,SVERIGE,CA,"11,12",3.12,,,841217.0,DIY SOS: THE BIG BUILD,HOPESAY,PR,
118,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,231,KANAL 11,SVERIGE,CA,"11,12",0.7,,,868882.0,EX ON THE BEACH SVERIGE,,PR,
119,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,231,KANAL 11,SVERIGE,CA,"11,12",1.74,,,876507.0,WAHLGRENS VÄRLD,,PR,
120,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TV011,SVT1 BAKGRUND,SVERIGE,CA,"11,12",0.21,,,,,,PR,
121,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TV511,SVT1 SKIVA,SVERIGE,CA,"11,12",2.14,,,,,,PR,
122,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TVUR021,SVT1 VISUELLT,SVERIGE,CA,"11,12",0.42,,,,,,PR,
123,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TVUR201,SVT1,SVERIGE,CA,"11,12",0.04,,,883504.0,SKAVLAN,VÅR 2017,PR,
124,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TVUR201,SVT1,SVERIGE,CA,"11,12",0.02,,,885301.0,BILLET TIL KÆRLIGHED,,PR,
125,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,27208757,TVUR512,SVT2 SKIVA,SVERIGE,CA,"11,12",0.25,,,,,,PR,
126,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,32535896,TV511,SVT1 SKIVA,SVERIGE,CA,"12,5",0.15,,,,,,PR,
127,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,35175987,TV511,SVT1 SKIVA,SVERIGE,CA,"25,0",0.54,,,,,,PR,
128,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,35175994,TVUR201,SVT1,SVERIGE,CA,"10,0",0.21,,,894086.0,P3 GULDGALAN 2017,,PR,
129,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,35598261,TV011,SVT1 BAKGRUND,SVERIGE,CA,"18,8",0.24,,,,,,PR,
130,2018,June,1197,Juniutbetalning 2018,5033743,13,Kommersiell tv,39124693,341,TV4 BAKGRUND,SVERIGE,CA,"11,67",62.24,,,,,,PR,
131,2018,June,1197,Juniutbetalning 2018,5033743,14,Närradio,27208757,N1041,P4 LOKAL,SVERIGE,CA,"11,12",33.13,,,,,,PR,
132,2018,June,1197,Juniutbetalning 2018,5033743,14,Närradio,27208757,N553,P5 STOCKHOLM,SVERIGE,CA,"11,12",0.41,,,,,,PR,
133,2018,June,1197,Juniutbetalning 2018,5033743,14,Närradio,35175987,N1041,P4 LOKAL,SVERIGE,CA,"25,0",1.83,,,,,,PR,
134,2018,June,1197,Juniutbetalning 2018,5033743,14,Närradio,35598261,N553,P5 STOCKHOLM,SVERIGE,CA,"18,8",0.37,,,,,,PR,
135,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,2003,P3 STAR,SVERIGE,CA,"11,12",63.73,,,,,,PR,109.0
136,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,2021,SR BARNWEBB,SVERIGE,CA,"11,12",0.9,,,,,,PR,2.0
137,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,2034,SVT PLAY,SVERIGE,CA,"10,94",71.01,,,,,,PR,732.0
138,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,3003,P3 STAR,SVERIGE,CA,"0,73",2.18,,,,,,MR,109.0
139,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,3021,SR BARNWEBB,SVERIGE,CA,"0,73",0.03,,,,,,MR,2.0
140,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,3077,SPOTIFY BUSINESS SE MECH,SVERIGE,CA,"0,73",2.52,,,,,,MR,16359.0
141,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,OMR801P,MEGAPOL PERF,SVERIGE,CA,"11,12",10.8,,,,,,PR,3024.0
142,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,27208757,OMR808P,NRJ PERF,SVERIGE,CA,"11,12",7.92,,,,,,PR,4378.0
143,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,32535896,2034,SVT PLAY,SVERIGE,CA,"12,5",4.38,,,,,,PR,93.0
144,2018,June,1197,Juniutbetalning 2018,5033743,16,Online/nya medier med rapport,37711023,3077,SPOTIFY BUSINESS SE MECH,SVERIGE,CA,"35,0",3.6,,,,,,MR,489.0
145,2018,June,1197,Juniutbetalning 2018,5033743,17,Privatkopieringsersättning,31495330,PKE305,PKE Nedladdning Musik,SVERIGE,CA,"0,59",0.01,,,,,,MR,
